shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01010,PASS,0,262144,1.3104,1.3384,0.979
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01011,PASS,0,262144,1.3113,1.3389,0.979
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01100,PASS,0,262144,1.3096,2.3718,0.552
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01101,PASS,0,262144,1.3112,2.5053,0.523
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01110,PASS,0,262144,1.3127,2.6142,0.502
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01111,PASS,0,262144,1.3114,2.5697,0.510
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10000,PASS,0,262144,1.3106,1.2200,1.074
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10001,PASS,0,262144,1.3097,1.2195,1.074
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10010,PASS,0,262144,1.3114,1.2411,1.057
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10011,PASS,0,262144,1.3121,1.2427,1.056
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10100,PASS,0,262144,1.3117,2.7117,0.484
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10101,PASS,0,262144,1.3119,2.6279,0.499
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10110,PASS,0,262144,1.3084,2.7028,0.484
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",10111,PASS,0,262144,1.3103,2.6554,0.493
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11000,PASS,0,262144,1.3106,1.1034,1.188
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11001,PASS,0,262144,1.3124,1.1273,1.164
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11010,PASS,0,262144,1.3117,1.1430,1.148
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11011,PASS,0,262144,1.3104,1.1493,1.140
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11100,PASS,0,262144,1.3095,2.2272,0.588
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11101,PASS,0,262144,1.3127,2.3043,0.570
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11110,PASS,0,262144,1.3104,2.3980,0.546
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",11111,PASS,0,262144,1.3117,2.4014,0.546
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00000,PASS,0,524288,2.0067,2.0004,1.003
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00001,PASS,0,524288,2.0016,2.0597,0.972
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00010,PASS,0,524288,2.0046,2.0730,0.967
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00011,PASS,0,524288,2.0101,2.0731,0.970
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00100,PASS,0,524288,2.0055,2.8751,0.698
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00101,PASS,0,524288,2.0064,2.8004,0.716
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00110,PASS,0,524288,2.0084,2.8303,0.710
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",00111,PASS,0,524288,2.0036,2.8592,0.701
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01000,PASS,0,524288,2.0087,1.9972,1.006
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01001,PASS,0,524288,2.0104,1.9983,1.006
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01010,PASS,0,524288,2.0128,2.0166,0.998
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01011,PASS,0,524288,2.0083,2.0185,0.995
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01100,PASS,0,524288,2.0036,2.4928,0.804
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01101,PASS,0,524288,2.0036,2.5142,0.797
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01110,PASS,0,524288,2.0065,2.6137,0.768
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",01111,PASS,0,524288,2.0041,2.6612,0.753
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",10000,PASS,0,524288,2.0097,1.9305,1.041
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",10001,PASS,0,524288,2.0040,1.9303,1.038
batch×sequence,B2 S256,"B=2,S=256,D=512,H=8,FFN=2048,L=6",10010,PASS,0,524288,2.0054,1.9505,1.028
